NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE
AT1;AT13;AT130;90300;.;1.072.113.328;641.268.191;430.845.137;19.799;22.520;16.910;28.143;31.188;24.313;20051231
AT1;AT13;AT130;90400;.;428.849.030;256.244.004;172.605.026;21.767;25.133;18.307;31.633;35.686;26.771;20051231
AT1;AT13;AT130;90500;.;583.671.634;340.876.261;242.795.372;16.873;18.436;15.143;24.880;26.855;22.402;20051231
AT1;AT13;AT130;90600;.;403.912.410;238.566.447;165.345.963;19.714;22.184;17.087;28.923;32.047;25.087;20051231
AT1;AT13;AT130;90700;.;422.161.996;242.141.283;180.020.713;19.778;22.475;17.133;29.211;32.179;25.755;20051231
AT1;AT13;AT130;90800;.;351.064.266;205.517.113;145.547.153;21.842;25.497;18.304;32.073;36.441;27.139;20051231
AT1;AT13;AT130;90900;.;546.489.425;323.343.469;223.145.956;20.203;23.577;16.877;30.070;33.998;25.427;20051231
AT1;AT13;AT130;91000;.;1.754.214.619;1.063.685.807;690.528.812;17.074;18.812;15.034;23.381;25.089;20.955;20051231
AT1;AT13;AT130;91100;.;933.092.319;568.959.191;364.133.128;17.367;19.343;15.075;23.395;25.117;20.895;20051231
AT1;AT13;AT130;91200;.;913.836.581;545.040.330;368.796.251;17.357;19.145;15.331;24.344;26.280;21.728;20051231
AT1;AT13;AT130;91300;.;784.330.142;500.342.239;283.987.902;25.382;31.628;19.132;34.924;41.185;26.993;20051231
AT1;AT13;AT130;91400;.;1.064.289.843;638.351.253;425.938.590;20.234;23.196;17.118;27.503;30.448;23.705;20051231
AT1;AT13;AT130;91500;.;691.243.582;413.063.343;278.180.239;15.376;16.622;13.891;22.327;23.612;20.511;20051231
AT1;AT13;AT130;91600;.;1.018.578.450;604.786.868;413.791.583;17.030;18.523;15.302;24.136;25.950;21.741;20051231
AT1;AT13;AT130;91700;.;605.707.057;366.058.055;239.649.002;18.260;20.538;15.729;26.467;29.153;22.942;20051231
AT1;AT13;AT130;91800;.;665.612.909;408.508.731;257.104.178;21.630;25.617;17.546;31.607;36.104;25.943;20051231
